,Org name,Org type,Forbes rank,CSR rank,Sector,Text,tweet_type,CODED_hashtags,CODED_media,CODED_urls,favorite_count,retweet_count,Date,Fake_Label,Presence/Absence,Josh,Dylan
25457,Viacom,profit,248,53,Media,.@VirtualTedS showcases ViacomXR and @awesomenesstv’s #LightAsAFeather activation powered by @magicleap. The uniquely immersive experience gives #VidConUS attendees the chance to be at the center of the @hulu series with their favorite characters. #ViacomLive https://t.co/fZ1Er8mnin,original,1,1,0,19,11,7/11/19,1,0,0,0
52414,AbbVie,profit,96,61,Healthcare,We continue to invest in our pipeline to develop innovative medicines for patients and support long-term growth. Learn more: https://t.co/TsJ3Jixt2k $ABBV https://t.co/hhynD3K2m6,original,0,1,1,3,2,7/26/19,1,0,1,1
27378,Huntsman,profit,276,51,Chemicals,"#Huntsman unveiled Araldite® 2050 and Araldite® 2051 @JECComposites. These latest adhesives will bring benefits to assembly, maintenance and repair bonding operations in the bus and truck, railway, wind and marine industries. #Araldite #JEC2019 https://t.co/JaqplM82MS",original,1,1,0,9,3,4/17/19,1,0,1,0
42166,Alleghany,profit,437,46,Financials,"The eastbound lane of Pineview Drive in Elizabeth Township has closed at the site of a landslide about 1,300 feet west of Long Hollow Road. Stop signs will be used to control traffic where the road becomes a single lane. Read more: https://t.co/KDHQux4tTN https://t.co/dpUmGmMx8v",original,0,1,1,3,1,4/24/19,1,0,0,0
14326,Qualcomm,profit,137,57,Technology,The #Snapdragon 855-powered #GalaxyS10 5G from @SamsungMobile is here. Welcome to a new era of connectivity. https://t.co/FJhm3ZNgWP https://t.co/wH3qkjrYEc,original,1,1,1,52,11,3/5/19,1,0,0,0
3846,Procter & Gamble,profit,45,59,Household Products,"In a growing, more globalized world, we need to protect our planet. Next week, we'll be @WEF discussing how we can make sustainability at scale a reality for people across the world. #DoingGoodEveryDay #WEF19 https://t.co/OAOayZgt4d",original,1,1,0,12,4,1/21/19,1,0,1,1
35070,AGCO,profit,335,53,Industrials,"Woof! It's Frida again! Farm animals deserve to be comfortable, healthy and stress-free. That's why our Grain &amp; Protein brands help customers respond to the demand for high-quality protein &amp; preserve more of what’s being produced. #FridatheAmbassador https://t.co/MwJK4ftpKD",original,1,1,0,12,0,11/13/19,1,1,0,0
19763,Jacobs Engineering Group,profit,208,54,Engineering & Construction,#WorldEnviromentDay is on June 5. What are you doing to #BeatAirPollution?   Here’s 8 ways we’re improving air quality ➡️https://t.co/FC1T050oTL https://t.co/eVVBaSyplp,original,1,1,1,6,1,6/3/19,1,1,0,0
21483,Microsoft,profit,26,68,Technology,🐆 + 📷 + 💻   Here's how @SnowLeopards visualize and explore data with #AI to better develop and assess conservation programs: https://t.co/kKwOVFglCe,original,1,0,1,197,37,8/9/19,1,0,0,0
13011,International Paper,profit,133,57,Materials,"Did you know? Diapers, tissues and other personal hygiene products are made using the same renewable resource as paper — trees!  Our Elegance® fluff pulp allows customers to create ultra-thin, soft &amp; discreet products that are environmentally responsible.  #InnovativeProducts https://t.co/XmdYkcY4FH",original,1,1,0,7,2,8/29/19,1,0,1,0
