Org name,Org type,Forbes rank,CSR rank,Sector,Text,tweet_type,CODED_hashtags,CODED_media,CODED_urls,favorite_count,retweet_count,Date,Presence/Absence,
United Parcel Service,profit,41,60,Transportation,"@GreenSolarWind Lon, on #WorldEnvironmentDay, UPS continues work on its #sustainability goals. We recently made the largest purchase of RNG ever, reducing our #GHG emissions by more than 1M metric tons. Subscribe to our newsletter to learn more: https://t.co/oEtJZOrxKp https://t.co/ilQGCcD5Hm",original,1,1,1,1,0,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,"@joelgehman  Joel, It’s #WorldEnvironmentDay. Did you know UPS recently made the largest purchase of RNG ever from CleanEnergy to help combat emissions? UPS’s #sustainability newsletter highlights this initiative. You can subscribe here: https://t.co/oEtJZOrxKp https://t.co/xYSq5VGA15",original,1,1,1,0,0,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,"@NelsonSwitzer Nelson, today is #WorldEnvironmentDay! The theme this year is air pollution. Find out how UPS continues to work on its sustainability goals by subscribing to our newsletter. https://t.co/oEtJZOrxKp https://t.co/kQNGASqn9O",original,1,1,1,0,1,6/5/19,0,
United Parcel Service,profit,41,60,Transportation,@hdbyrne Today is #WorldEnvironmentDay! The theme this year is air pollution. Find out how UPS continues to work on its sustainability goals by subscribing to our newsletter. https://t.co/oEtJZOrxKp https://t.co/7NxeF8Cpxc,original,1,1,1,1,0,6/5/19,0,
United Parcel Service,profit,41,60,Transportation,"@JohnRSeydel On #WorldEnvironmentDay, UPS continues work on its #sustainability goals. We recently made the largest purchase of RNG ever, reducing our #GHG emissions by more than 1M metric tons. Subscribe to our newsletter to learn more https://t.co/oEtJZOrxKp https://t.co/vVmqo1lqY3",original,1,1,1,1,0,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,@rebleber It’s #WorldEnvironmentDay. Did you know UPS recently made the largest purchase of RNG ever from CleanEnergy to help combat emissions? UPS’s #sustainability newsletter highlights this initiative. Click to learn more and subscribe https://t.co/oEtJZOrxKp https://t.co/XCQrtnenPq,original,1,1,1,0,0,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,@jendlouhyhc The theme for #WorldEnvironmentDay this year is air pollution. Our #sustainability newsletter highlights UPS’s efforts to reduce carbon emissions via fleet electrification and other sustainable methods. Subscribe here to learn more: https://t.co/oEtJZOrxKp https://t.co/eO8ryxGjtC,original,1,1,1,0,0,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,"@GreenCollarGuy Kevin, on #WorldEnvironmentDay, UPS continues work on its #sustainability goals. We recently made the largest purchase of RNG ever, reducing our #GHG emissions by more than 1M metric tons. Subscribe to our newsletter to learn more: https://t.co/oEtJZOrxKp https://t.co/HsvGHpk3Of",original,1,1,1,0,0,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,"@theGEF  Gef, It’s #WorldEnvironmentDay. Did you know UPS recently made the largest purchase of RNG ever from CleanEnergy to help combat emissions? UPS’s #sustainability newsletter highlights this initiative. You can subscribe here: https://t.co/oEtJZOrxKp https://t.co/4DQ52bAbZF",original,1,1,1,0,0,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,"@JackieSavitz Jackie, today is #WorldEnvironmentDay! The theme this year is air pollution. Find out how UPS continues to work on its sustainability goals by subscribing to our newsletter. https://t.co/oEtJZOrxKp https://t.co/jQvcezwioj",original,1,1,1,0,0,6/5/19,0,
United Parcel Service,profit,41,60,Transportation,@johnrplatt Today is #WorldEnvironmentDay! The theme this year is air pollution. Find out how UPS continues to work on its sustainability goals by subscribing to our newsletter. https://t.co/oEtJZOrxKp https://t.co/cPfAclLYG3,original,1,1,1,0,0,6/5/19,0,
United Parcel Service,profit,41,60,Transportation,"@brucenilles On #WorldEnvironmentDay, UPS continues work on its #sustainability goals. We recently made the largest purchase of RNG ever, reducing our #GHG emissions by more than 1M metric tons. Subscribe to our newsletter to learn more https://t.co/oEtJZOrxKp https://t.co/81M83QtpR7",original,1,1,1,0,0,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,@cleanaircatf It’s #WorldEnvironmentDay. Did you know UPS recently made the largest purchase of RNG ever from CleanEnergy to help combat emissions? UPS’s #sustainability newsletter highlights this initiative. Click to learn more and subscribe https://t.co/oEtJZOrxKp https://t.co/JKXOHP600E,original,1,1,1,0,0,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,@AirDistrict The theme for #WorldEnvironmentDay this year is air pollution. Our #sustainability newsletter highlights UPS’s efforts to reduce carbon emissions via fleet electrification and other sustainable methods. Subscribe here to learn more: https://t.co/oEtJZOrxKp https://t.co/nNhAnUoKOQ,original,1,1,1,0,0,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,"@amyrbrown12_amy Amy, on #WorldEnvironmentDay, UPS continues work on its #sustainability goals. We recently made the largest purchase of RNG ever, reducing our #GHG emissions by more than 1M metric tons. Subscribe to our newsletter to learn more: https://t.co/oEtJZOrxKp https://t.co/QNA2q4EZwk",original,1,1,1,2,1,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,"@jwalkenrdc  John, It’s #WorldEnvironmentDay. Did you know UPS recently made the largest purchase of RNG ever from CleanEnergy to help combat emissions? UPS’s #sustainability newsletter highlights this initiative. You can subscribe here: https://t.co/oEtJZOrxKp https://t.co/Yd8I9Rkpv2",original,1,1,1,0,0,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,"@HalickiM Michael, today is #WorldEnvironmentDay! The theme this year is air pollution. Find out how UPS continues to work on its sustainability goals by subscribing to our newsletter. https://t.co/oEtJZOrxKp https://t.co/ffpeER1jZ8",original,1,1,1,0,0,6/5/19,0,
United Parcel Service,profit,41,60,Transportation,@CleanAirRevival Today is #WorldEnvironmentDay! The theme this year is air pollution. Find out how UPS continues to work on its sustainability goals by subscribing to our newsletter. https://t.co/oEtJZOrxKp https://t.co/LhLFJ41DLu,original,1,1,1,0,0,6/5/19,0,
United Parcel Service,profit,41,60,Transportation,"@rebeccamkern On #WorldEnvironmentDay, UPS continues work on its #sustainability goals. We recently made the largest purchase of RNG ever, reducing our #GHG emissions by more than 1M metric tons. Subscribe to our newsletter to learn more https://t.co/oEtJZOrxKp https://t.co/1Nfs9wUj1A",original,1,1,1,0,0,6/5/19,1,
United Parcel Service,profit,41,60,Transportation,@COScienceWriter It’s #WorldEnvironmentDay. Did you know UPS recently made the largest purchase of RNG ever from CleanEnergy to help combat emissions? UPS’s #sustainability newsletter highlights this initiative. Click to learn more and subscribe https://t.co/oEtJZOrxKp https://t.co/9FlqJyH1k1,original,1,1,1,0,0,6/5/19,1,
